Issue Key,Project,Issue Type,Summary,Description,Priority,Severity,Labels,Root Cause,Status,Resolution,Assignee,Reporter,Created,Updated,Resolution Date,Sprint
QA-172,QA Defects,Bug,Session timeout not working as expected,Steps: Click logout. Expected: System should work correctly. Actual: System crashes.,High,Blocker,Performance,Code Bug,In Progress,Cannot Reproduce,John Doe,Test Engineer,2024-03-24,2024-03-29,,Sprint 6 (2024)
QA-173,QA Defects,Bug,Page load takes more than 10 seconds,Steps: Call API endpoint. Expected: System should work correctly. Actual: System crashes.,High,Minor,Performance,Test Data Issue,Closed,,Bob Johnson,QA Tester,2024-03-25,2024-03-28,2024-04-12,Sprint 7 (2024)
QA-174,QA Defects,Bug,Cache not refreshed after deployment,Steps: Navigate to dashboard. Expected: Data should be saved. Actual: System crashes.,Low,Minor,DevOps,Configuration Issue,Resolved,Duplicate,Jane Smith,Automation Bot,2024-03-26,2024-03-27,2024-04-05,Sprint 7 (2024)
QA-175,QA Defects,Bug,User roles not applied correctly after update,Steps: Open app. Expected: System should work correctly. Actual: Page loads slowly.,Medium,Major,General Code Defect,Environment Issue,Resolved,Fixed,John Doe,Test Engineer,2024-03-27,2024-03-31,2024-04-10,Sprint 7 (2024)
QA-176,QA Defects,Bug,Cache not refreshed after deployment,Steps: Open app. Expected: System should work correctly. Actual: System crashes.,Medium,Critical,DevOps,Performance Issue,Open,Fixed,Bob Johnson,QA Tester,2024-03-28,2024-04-07,2024-04-21,Sprint 7 (2024)
QA-177,QA Defects,Bug,SQL query takes too long to execute,Steps: Submit form. Expected: System should work correctly. Actual: Page loads slowly.,Medium,Blocker,Database,Code Bug,Open,Won't Fix,Jane Smith,Test Engineer,2024-03-30,2024-04-01,2024-04-02,Sprint 7 (2024)
QA-178,QA Defects,Bug,Chart rendering breaks on dashboard,Steps: Open app. Expected: User should be redirected. Actual: 500 error returned.,Medium,Major,General Code Defect,Configuration Issue,Open,Won't Fix,Alice Brown,Automation Bot,2024-03-31,2024-04-09,2024-04-23,Sprint 7 (2024)
QA-179,QA Defects,Bug,Login button not responsive,Steps: Call API endpoint. Expected: System should work correctly. Actual: System crashes.,Medium,Blocker,UI,Code Bug,Resolved,,Alice Brown,QA Tester,2024-04-01,2024-04-06,2024-04-10,Sprint 7 (2024)
QA-180,QA Defects,Bug,Password reset email not received,Steps: Call API endpoint. Expected: System should work correctly. Actual: 500 error returned.,High,Blocker,Security,Memory Leak,Open,Duplicate,Mark Lee,Test Engineer,2024-04-02,2024-04-05,,Sprint 7 (2024)
QA-181,QA Defects,Bug,Export to CSV generates empty file,Steps: Call API endpoint. Expected: System should work correctly. Actual: Data not saved.,Medium,Major,Data Handling,Environment Issue,In Progress,Duplicate,Mark Lee,Test Engineer,2024-04-03,2024-04-09,2024-04-22,Sprint 7 (2024)
QA-182,QA Defects,Bug,Incorrect error message shown on invalid input,Steps: Click logout. Expected: User should be redirected. Actual: System crashes.,Medium,Critical,Validation,Code Bug,In Progress,Duplicate,Mark Lee,Automation Bot,2024-04-04,2024-04-08,,Sprint 7 (2024)
QA-183,QA Defects,Bug,Incorrect error message shown on invalid input,Steps: Submit form. Expected: Data should be saved. Actual: 500 error returned.,Medium,Critical,Validation,Memory Leak,Resolved,,Bob Johnson,Automation Bot,2024-04-06,2024-04-09,2024-04-21,Sprint 7 (2024)
QA-184,QA Defects,Bug,Cache not refreshed after deployment,Steps: Navigate to dashboard. Expected: System should work correctly. Actual: System crashes.,Medium,Minor,DevOps,Memory Leak,Open,Fixed,Jane Smith,Automation Bot,2024-04-07,2024-04-16,2024-04-25,Sprint 7 (2024)
QA-185,QA Defects,Bug,User roles not applied correctly after update,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: Page loads slowly.,High,Minor,General Code Defect,Configuration Issue,Open,Cannot Reproduce,John Doe,Automation Bot,2024-04-08,2024-04-15,2024-04-29,Sprint 8 (2024)
QA-186,QA Defects,Bug,Export to CSV generates empty file,Steps: Open app. Expected: User should be redirected. Actual: Page loads slowly.,Low,Major,Data Handling,Environment Issue,In Progress,Won't Fix,Bob Johnson,Test Engineer,2024-04-09,2024-04-14,,Sprint 8 (2024)
QA-187,QA Defects,Bug,Session timeout not working as expected,Steps: Open app. Expected: System should work correctly. Actual: Page loads slowly.,Low,Blocker,Performance,Test Data Issue,Open,Won't Fix,John Doe,Test Engineer,2024-04-10,2024-04-20,2024-04-28,Sprint 8 (2024)
QA-188,QA Defects,Bug,Cross-site scripting vulnerability in comments,Steps: Navigate to dashboard. Expected: Data should be saved. Actual: 500 error returned.,Low,Major,General Code Defect,Code Bug,Closed,Won't Fix,John Doe,Test Engineer,2024-04-11,2024-04-16,2024-04-23,Sprint 8 (2024)
QA-189,QA Defects,Bug,API returns 500 error on valid request,Steps: Click logout. Expected: Data should be saved. Actual: Incorrect message displayed.,High,Blocker,API,Code Bug,Closed,,John Doe,Test Engineer,2024-04-13,2024-04-18,2024-04-20,Sprint 8 (2024)
QA-190,QA Defects,Bug,File upload fails for large files,Steps: Open app. Expected: User should be redirected. Actual: Data not saved.,Medium,Critical,Performance,Performance Issue,Resolved,Won't Fix,Jane Smith,QA Tester,2024-04-14,2024-04-15,2024-04-20,Sprint 8 (2024)
QA-191,QA Defects,Bug,Application crashes on logout,Steps: Click logout. Expected: System should work correctly. Actual: System crashes.,Medium,Critical,Logging,Performance Issue,Resolved,Cannot Reproduce,John Doe,Test Engineer,2024-04-15,2024-04-21,2024-05-06,Sprint 8 (2024)
QA-192,QA Defects,Bug,Search results not displayed correctly,Steps: Click logout. Expected: Response should be 200 OK. Actual: Data not saved.,Medium,Minor,Data Handling,Configuration Issue,Resolved,,Jane Smith,Automation Bot,2024-04-16,2024-04-20,2024-05-03,Sprint 8 (2024)
QA-193,QA Defects,Bug,SQL query takes too long to execute,Steps: Submit form. Expected: User should be redirected. Actual: Data not saved.,Medium,Blocker,Database,Test Data Issue,Open,,Mark Lee,QA Tester,2024-04-17,2024-04-20,2024-04-27,Sprint 8 (2024)
QA-194,QA Defects,Bug,Cross-site scripting vulnerability in comments,Steps: Click logout. Expected: System should work correctly. Actual: Data not saved.,Medium,Blocker,General Code Defect,Code Bug,In Progress,Fixed,Jane Smith,QA Tester,2024-04-18,2024-04-23,2024-05-02,Sprint 8 (2024)
QA-195,QA Defects,Bug,Incorrect error message shown on invalid input,Steps: Submit form. Expected: Data should be saved. Actual: 500 error returned.,Medium,Major,Validation,Environment Issue,Open,,Jane Smith,QA Tester,2024-04-20,2024-04-21,2024-05-03,Sprint 8 (2024)
QA-196,QA Defects,Bug,File upload fails for large files,Steps: Call API endpoint. Expected: Data should be saved. Actual: System crashes.,Medium,Critical,Performance,Environment Issue,Closed,Duplicate,Alice Brown,Test Engineer,2024-04-21,2024-04-25,2024-05-04,Sprint 8 (2024)
QA-197,QA Defects,Bug,Incorrect error message shown on invalid input,Steps: Submit form. Expected: Response should be 200 OK. Actual: Incorrect message displayed.,High,Blocker,Validation,Configuration Issue,Open,Duplicate,Mark Lee,QA Tester,2024-04-22,2024-04-29,2024-05-03,Sprint 9 (2024)
QA-198,QA Defects,Bug,UI alignment issue on mobile view,Steps: Navigate to dashboard. Expected: System should work correctly. Actual: Page loads slowly.,Low,Minor,UI,Environment Issue,Closed,Cannot Reproduce,Alice Brown,Test Engineer,2024-04-23,2024-05-01,2024-05-09,Sprint 9 (2024)
QA-199,QA Defects,Bug,User roles not applied correctly after update,Steps: Open app. Expected: User should be redirected. Actual: 500 error returned.,Low,Critical,General Code Defect,Environment Issue,Closed,Duplicate,Mark Lee,Automation Bot,2024-04-24,2024-04-30,2024-05-13,Sprint 9 (2024)
QA-200,QA Defects,Bug,User roles not applied correctly after update,Steps: Open app. Expected: Response should be 200 OK. Actual: Page loads slowly.,Medium,Minor,General Code Defect,Performance Issue,In Progress,Won't Fix,Alice Brown,Automation Bot,2024-04-25,2024-04-28,,Sprint 9 (2024)
QA-201,QA Defects,Bug,Application crashes on logout,Steps: Call API endpoint. Expected: Response should be 200 OK. Actual: Page loads slowly.,Low,Blocker,Logging,Test Data Issue,Resolved,Cannot Reproduce,Jane Smith,QA Tester,2024-04-27,2024-04-28,2024-05-13,Sprint 9 (2024)
QA-202,QA Defects,Bug,Cache not refreshed after deployment,Steps: Open app. Expected: Response should be 200 OK. Actual: Incorrect message displayed.,Low,Critical,DevOps,Environment Issue,In Progress,Cannot Reproduce,Jane Smith,Automation Bot,2024-04-28,2024-05-01,2024-05-15,Sprint 9 (2024)
